MC	<p>02c0</p> <p>Enzymes are biological catalysts that speed up chemical reactions in living organisms.</p><p>Which one of the following choices is most likely an enzyme?<br/><i>Hint: enzymes often have a distinct naming pattern that can help identify them.</i></p>	A.<strong> </strong>maltase&nbsp; 	Correct	B.<strong> </strong>GTP&nbsp; 	Incorrect	C.<strong> </strong>galactose&nbsp; 	Incorrect	D.<strong> </strong>collagen&nbsp; 	Incorrect	E.<strong> </strong>estrogen&nbsp; 	Incorrect
MC	<p>03f4</p> <p>Enzymes are biological catalysts that speed up chemical reactions in living organisms.</p><p>Which one of the following choices is most likely an enzyme?<br/><i>Hint: enzymes often have a distinct naming pattern that can help identify them.</i></p>	A.<strong> </strong>GDP&nbsp; 	Incorrect	B.<strong> </strong>chloride ions, Cl<sup>-</sup>&nbsp; 	Incorrect	C.<strong> </strong>catalase&nbsp; 	Correct	D.<strong> </strong>actin filaments&nbsp; 	Incorrect	E.<strong> </strong>testosterone&nbsp; 	Incorrect
MC	<p>0a51</p> <p>Enzymes are biological catalysts that speed up chemical reactions in living organisms.</p><p>Which one of the following choices is most likely an enzyme?<br/><i>Hint: enzymes often have a distinct naming pattern that can help identify them.</i></p>	A.<strong> </strong>steroid&nbsp; 	Incorrect	B.<strong> </strong>GDP&nbsp; 	Incorrect	C.<strong> </strong>cholesterol&nbsp; 	Incorrect	D.<strong> </strong>actin filaments&nbsp; 	Incorrect	E.<strong> </strong>pyruvate decarboxylase&nbsp; 	Correct
MC	<p>0f29</p> <p>Enzymes are biological catalysts that speed up chemical reactions in living organisms.</p><p>Which one of the following choices is most likely an enzyme?<br/><i>Hint: enzymes often have a distinct naming pattern that can help identify them.</i></p>	A.<strong> </strong>ADP&nbsp; 	Incorrect	B.<strong> </strong>sucrose&nbsp; 	Incorrect	C.<strong> </strong>intermediate filaments&nbsp; 	Incorrect	D.<strong> </strong>triglyceride&nbsp; 	Incorrect	E.<strong> </strong>adenylyl cyclase&nbsp; 	Correct
MC	<p>0f88</p> <p>Enzymes are biological catalysts that speed up chemical reactions in living organisms.</p><p>Which one of the following choices is most likely an enzyme?<br/><i>Hint: enzymes often have a distinct naming pattern that can help identify them.</i></p>	A.<strong> </strong>manganese ions (Mn<sup>2+</sup>)&nbsp; 	Incorrect	B.<strong> </strong>acetylcholinesterase&nbsp; 	Correct	C.<strong> </strong>water (H<sub>2</sub>O)&nbsp; 	Incorrect	D.<strong> </strong>FADH<sub>2</sub>&nbsp; 	Incorrect	E.<strong> </strong>steroid&nbsp; 	Incorrect
MC	<p>124f</p> <p>Enzymes are biological catalysts that speed up chemical reactions in living organisms.</p><p>Which one of the following choices is most likely an enzyme?<br/><i>Hint: enzymes often have a distinct naming pattern that can help identify them.</i></p>	A.<strong> </strong>amylose&nbsp; 	Incorrect	B.<strong> </strong>steroid&nbsp; 	Incorrect	C.<strong> </strong>FADH<sub>2</sub>&nbsp; 	Incorrect	D.<strong> </strong>lactate dehydrogenase&nbsp; 	Correct	E.<strong> </strong>cholesterol&nbsp; 	Incorrect
MC	<p>13fa</p> <p>Enzymes are biological catalysts that speed up chemical reactions in living organisms.</p><p>Which one of the following choices is most likely an enzyme?<br/><i>Hint: enzymes often have a distinct naming pattern that can help identify them.</i></p>	A.<strong> </strong>triglyceride&nbsp; 	Incorrect	B.<strong> </strong>fructose&nbsp; 	Incorrect	C.<strong> </strong>cholesterol&nbsp; 	Incorrect	D.<strong> </strong>GMP&nbsp; 	Incorrect	E.<strong> </strong>lactase&nbsp; 	Correct
MC	<p>14ee</p> <p>Enzymes are biological catalysts that speed up chemical reactions in living organisms.</p><p>Which one of the following choices is most likely an enzyme?<br/><i>Hint: enzymes often have a distinct naming pattern that can help identify them.</i></p>	A.<strong> </strong>chloride ions, Cl<sup>-</sup>&nbsp; 	Incorrect	B.<strong> </strong>triglyceride&nbsp; 	Incorrect	C.<strong> </strong>estrogen&nbsp; 	Incorrect	D.<strong> </strong>adenylyl cyclase&nbsp; 	Correct	E.<strong> </strong>pyruvate&nbsp; 	Incorrect
MC	<p>154b</p> <p>Enzymes are biological catalysts that speed up chemical reactions in living organisms.</p><p>Which one of the following choices is most likely an enzyme?<br/><i>Hint: enzymes often have a distinct naming pattern that can help identify them.</i></p>	A.<strong> </strong>oxygen (O<sub>2</sub>)&nbsp; 	Incorrect	B.<strong> </strong>GDP&nbsp; 	Incorrect	C.<strong> </strong>steroid&nbsp; 	Incorrect	D.<strong> </strong>estrogen&nbsp; 	Incorrect	E.<strong> </strong>maltase&nbsp; 	Correct
MC	<p>1717</p> <p>Enzymes are biological catalysts that speed up chemical reactions in living organisms.</p><p>Which one of the following choices is most likely an enzyme?<br/><i>Hint: enzymes often have a distinct naming pattern that can help identify them.</i></p>	A.<strong> </strong>chitin&nbsp; 	Incorrect	B.<strong> </strong>AMP&nbsp; 	Incorrect	C.<strong> </strong>adenylyl cyclase&nbsp; 	Correct	D.<strong> </strong>cholesterol&nbsp; 	Incorrect	E.<strong> </strong>steroid&nbsp; 	Incorrect
MC	<p>18ca</p> <p>Enzymes are biological catalysts that speed up chemical reactions in living organisms.</p><p>Which one of the following choices is most likely an enzyme?<br/><i>Hint: enzymes often have a distinct naming pattern that can help identify them.</i></p>	A.<strong> </strong>triglyceride&nbsp; 	Incorrect	B.<strong> </strong>collagen&nbsp; 	Incorrect	C.<strong> </strong>calcium ions (Ca<sup>2+</sup>)&nbsp; 	Incorrect	D.<strong> </strong>phosphofructokinase&nbsp; 	Correct	E.<strong> </strong>steroid&nbsp; 	Incorrect
