MAT	<p>ccf9_ac71</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #b74300;">lipids</span></strong>	stearic acid &ndash; a fatty acid with 18 carbons	<strong><span style="color: #007a00;">proteins</span></strong>	threonine	<strong><span style="color: #003fff;">carbohydrates</span></strong>	sorbose	<strong><span style="color: #c80085;">nucleic acids</span></strong>	thymine
MAT	<p>ccf9_1ef0</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #003fff;">carbohydrates</span></strong>	ketose	<strong><span style="color: #b74300;">lipids</span></strong>	fatty acids	<strong><span style="color: #007a00;">proteins</span></strong>	alanine	<strong><span style="color: #c80085;">nucleic acids</span></strong>	cytosine
MAT	<p>ccf9_f296</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #c80085;">nucleic acids</span></strong>	ribonucleic acid	<strong><span style="color: #007a00;">proteins</span></strong>	chymotypsin	<strong><span style="color: #003fff;">carbohydrates</span></strong>	maltodextrin	<strong><span style="color: #b74300;">lipids</span></strong>	estrogen
MAT	<p>ccf9_df6d</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #c80085;">nucleic acids</span></strong>	thymidine	<strong><span style="color: #b74300;">lipids</span></strong>	sphingosine	<strong><span style="color: #007a00;">proteins</span></strong>	phenylalanine	<strong><span style="color: #003fff;">carbohydrates</span></strong>	pectin &ndash; a heteropolysaccharide present in plant cell walls
MAT	<p>ccf9_56d3</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #003fff;">carbohydrates</span></strong>	sugar	<strong><span style="color: #c80085;">nucleic acids</span></strong>	deoxyribonucleic acid	<strong><span style="color: #007a00;">proteins</span></strong>	lysine	<strong><span style="color: #b74300;">lipids</span></strong>	butyric acid &ndash; a fatty acid with 4 carbons
MAT	<p>ccf9_5fe9</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #b74300;">lipids</span></strong>	caproic acid &ndash; a fatty acid with 6 carbons	<strong><span style="color: #c80085;">nucleic acids</span></strong>	uridine	<strong><span style="color: #007a00;">proteins</span></strong>	valine	<strong><span style="color: #003fff;">carbohydrates</span></strong>	trehalose
MAT	<p>ccf9_f81c</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #c80085;">nucleic acids</span></strong>	RNA	<strong><span style="color: #003fff;">carbohydrates</span></strong>	disaccharides	<strong><span style="color: #007a00;">proteins</span></strong>	polypeptides	<strong><span style="color: #b74300;">lipids</span></strong>	castor oil &ndash; oil pressed from castor beans
MAT	<p>ccf9_443e</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #003fff;">carbohydrates</span></strong>	mannose	<strong><span style="color: #c80085;">nucleic acids</span></strong>	thymidine	<strong><span style="color: #007a00;">proteins</span></strong>	arginine	<strong><span style="color: #b74300;">lipids</span></strong>	phospho<strong><span style="color: #b74300;">lipids</span></strong>
MAT	<p>ccf9_d7aa</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #c80085;">nucleic acids</span></strong>	cytosine	<strong><span style="color: #b74300;">lipids</span></strong>	butyric acid &ndash; a fatty acid with 4 carbons	<strong><span style="color: #003fff;">carbohydrates</span></strong>	hexose	<strong><span style="color: #007a00;">proteins</span></strong>	aspartate
MAT	<p>ccf9_275f</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #c80085;">nucleic acids</span></strong>	guanine	<strong><span style="color: #b74300;">lipids</span></strong>	lanolin or wool wax &ndash; secreted by the sebaceous glands of sheep	<strong><span style="color: #007a00;">proteins</span></strong>	proline	<strong><span style="color: #003fff;">carbohydrates</span></strong>	ribose
MAT	<p>ccf9_a4f1</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #003fff;">carbohydrates</span></strong>	galactose	<strong><span style="color: #b74300;">lipids</span></strong>	lauric acid &ndash; a fatty acid with 12 carbons	<strong><span style="color: #007a00;">proteins</span></strong>	arginine	<strong><span style="color: #c80085;">nucleic acids</span></strong>	adenine
MAT	<p>ccf9_f5f0</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #003fff;">carbohydrates</span></strong>	trehalose	<strong><span style="color: #c80085;">nucleic acids</span></strong>	guanosine triphosphate	<strong><span style="color: #007a00;">proteins</span></strong>	histidine	<strong><span style="color: #b74300;">lipids</span></strong>	vegetable oil
MAT	<p>ccf9_efec</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #003fff;">carbohydrates</span></strong>	sorbitol &ndash; a sugar alcohol added to chewing gum	<strong><span style="color: #b74300;">lipids</span></strong>	testosterone	<strong><span style="color: #007a00;">proteins</span></strong>	tyrosine	<strong><span style="color: #c80085;">nucleic acids</span></strong>	cytidine
MAT	<p>ccf9_0385</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">proteins</span></strong>	valine	<strong><span style="color: #b74300;">lipids</span></strong>	lauric acid &ndash; a fatty acid with 12 carbons	<strong><span style="color: #003fff;">carbohydrates</span></strong>	amylose starch	<strong><span style="color: #c80085;">nucleic acids</span></strong>	guanosine
MAT	<p>ccf9_3658</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #c80085;">nucleic acids</span></strong>	ribonucleic acid	<strong><span style="color: #007a00;">proteins</span></strong>	arginine	<strong><span style="color: #b74300;">lipids</span></strong>	carnauba wax &ndash; from leaves of the Brazilian palm tree	<strong><span style="color: #003fff;">carbohydrates</span></strong>	trehalose
MAT	<p>ccf9_b585</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #c80085;">nucleic acids</span></strong>	DNA	<strong><span style="color: #003fff;">carbohydrates</span></strong>	dietary fiber	<strong><span style="color: #007a00;">proteins</span></strong>	histidine	<strong><span style="color: #b74300;">lipids</span></strong>	capric acid &ndash; a fatty acid with 10 carbons
MAT	<p>ccf9_115d</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #007a00;">proteins</span></strong>	aspartate	<strong><span style="color: #b74300;">lipids</span></strong>	castor oil &ndash; oil pressed from castor beans	<strong><span style="color: #c80085;">nucleic acids</span></strong>	adenine	<strong><span style="color: #003fff;">carbohydrates</span></strong>	chitin
MAT	<p>ccf9_5c45</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #b74300;">lipids</span></strong>	phosphatidylcholine	<strong><span style="color: #c80085;">nucleic acids</span></strong>	ribonucleic acid	<strong><span style="color: #003fff;">carbohydrates</span></strong>	glucose	<strong><span style="color: #007a00;">proteins</span></strong>	aspartic acid
MAT	<p>ccf9_d835</p> <p>Match each of the following types of macromolecules with their corresponding macromolecules.</p><p><i>Note:</i> Each choice will be used exactly once.</p>	<strong><span style="color: #003fff;">carbohydrates</span></strong>	amylopectin starch	<strong><span style="color: #c80085;">nucleic acids</span></strong>	polynucleotides	<strong><span style="color: #007a00;">proteins</span></strong>	polypeptides	<strong><span style="color: #b74300;">lipids</span></strong>	phospho<strong><span style="color: #b74300;">lipids</span></strong>
