subject,topic,script,flags,input,notes
genetics,dna_profiling,{bp_root}/dna_profiling-problems/who_father_html.py,,,
genetics,dna_profiling,{bp_root}/dna_profiling-problems/who_killer_html.py,,,
genetics,dna_profiling,{bp_root}/dna_profiling-problems/hla_genotype.py,,,
genetics,dna_profiling,{bp_root}/dna_profiling-problems/blood_type_agglutination_test.py,,,

genetics,mendelian,{bp_root}/inheritance-problems/lethal_allele_survival.py,,,
genetics,mendelian,{bp_root}/inheritance-problems/monohybrid_genotype_statements.py,,,
genetics,mendelian,{bp_root}/inheritance-problems/monohybrid_litter_inference.py,,,
genetics,mendelian,{bp_root}/inheritance-problems/monohybrid_degrees_of_dominance.py,,,
genetics,mendelian,{bp_root}/inheritance-problems/pedigrees/write_pedigree_choice.py,,,
genetics,mendelian,{bp_root}/inheritance-problems/pedigrees/write_pedigree_match.py,,,
genetics,mendelian,{bp_root}/inheritance-problems/pedigrees/write_pedigree_match_random.py,,,
genetics,mendelian,{bp_root}/inheritance-problems/punnett_choice.py,,,

genetics,gene_interactions,{bp_root}/inheritance-problems/blood_type_mother.py,,,
genetics,gene_interactions,{bp_root}/inheritance-problems/blood_type_offspring.py,,,
genetics,gene_interactions,{bp_root}/inheritance-problems/epistasis/dihybrid_cross_epistatic_gene_interactions.py,,,
genetics,gene_interactions,{bp_root}/inheritance-problems/epistasis/dihybrid_cross_epistatic_gene_metabolics.py,,,
genetics,gene_interactions,{bp_root}/inheritance-problems/epistasis/epistasis_test_cross.py,,,
genetics,gene_interactions,{bp_root}/inheritance-problems/large_crosses/unique_cross_genotypes.py,,,
genetics,gene_interactions,{bp_root}/inheritance-problems/large_crosses/unique_cross_phenotypes.py,,,
genetics,gene_interactions,{bp_root}/inheritance-problems/large_crosses/unique_gametes.py,,,

genetics,chromosomal_inheritance,{bp_root}/inheritance-problems/dominant_and_X-linked_recessive.py,,,
genetics,chromosomal_inheritance,{bp_root}/inheritance-problems/dominant_and_X-linked_recessive_variations.py ,,,
genetics,chromosomal_inheritance,{bp_root}/inheritance-problems/poisson_flies.py,,,
genetics,chromosomal_inheritance,{bp_root}/inheritance-problems/x_linked_reciprocal_cross.py,,,
genetics,chromosomal_inheritance,{bp_root}/inheritance-problems/x_linked_tortoiseshell.py,,,

genetics,chi_square,{bp_root}/inheritance-problems/chi_square/chi_square_calculated.py,,,
genetics,chi_square,{bp_root}/inheritance-problems/chi_square/chi_square_choices.py,,,
genetics,chi_square,{bp_root}/inheritance-problems/chi_square/chi_square_errors.py,,,
genetics,chi_square,{bp_root}/inheritance-problems/chi_square/chi_square_hardy_weinberg.py,,,
genetics,chi_square,{bp_root}/inheritance-problems/chi_square/chi_square_hypotheses.py,,,
genetics,chi_square,{bp_root}/inheritance-problems/chi_square/chi_square_hypotheses_lab_partner.py,,,
genetics,dna_structure,{bp_root}/molecular_biology-problems/chargaff_dna_percent.py,,,
genetics,dna_structure,{bp_root}/molecular_biology-problems/complementary_sequences.py,,,
genetics,dna_structure,{bp_root}/molecular_biology-problems/dna_melting_temp.py,,,
genetics,dna_structure,{bp_root}/molecular_biology-problems/palindrome_sequence_match.py,,,
genetics,dna_structure,YMCS,,{bp_mcs}/biochemistry/dna_structure-biol_351.yml,
genetics,dna_structure,YMCS,,{bp_mcs}/biochemistry/dna_structure.yml,
genetics,dna_structure,YMCS,,{bp_mcs}/biochemistry/melting_Tm_type_1.yml,
genetics,dna_structure,YMCS,,{bp_mcs}/biochemistry/melting_Tm_type_2a.yml,
genetics,dna_structure,YMCS,,{bp_mcs}/biochemistry/melting_Tm_type_2b.yml,
genetics,dna_structure,YMCS,,{bp_mcs}/biochemistry/nucleotide_components.yml,
genetics,dna_structure,YMCS,,{bp_mcs}/biochemistry/rna_v_dna-biol_301.yml,
genetics,dna_structure,YMCS,,{bp_mcs}/biochemistry/rna_v_dna.yml,
genetics,mendelian,{bp_root}/inheritance-problems/probabiliy_of_progeny.py,,,
genetics,gene_interactions,{bp_root}/inheritance-problems/horses.py,,,
genetics,gene_interactions,{bp_root}/molecular_biology-problems/beadle_tatum-metabolic_pathway.py,,,
genetics,gene_interactions,{bp_root}/molecular_biology-problems/mutant_screen.py,,,
genetics,gene_interactions,YMATCH,,{bp_match}/inheritance/degrees_of_dominance.yml,
genetics,genetic_disorders,YMATCH,,{bp_match}/inheritance/genetic_disorders.yml,
genetics,mendelian,YMATCH,,{bp_match}/inheritance/genetics_terminology.yml,
genetics,chromosomal_inheritance,YMATCH,,{bp_match}/inheritance/meiosis_prophase_1.yml,
genetics,chromosomal_inheritance,YMATCH,,{bp_match}/inheritance/meiosis_terms.yml,
genetics,mendelian,YMATCH,,{bp_match}/inheritance/mendel_cross_terminology.yml,
genetics,mendelian,YMATCH,,{bp_match}/inheritance/mendel_four_principles.yml,
genetics,mendelian,YMATCH,,{bp_match}/inheritance/mendelian_genetics_terms.yml,
genetics,mendelian,YMATCH,,{bp_match}/inheritance/monohybrid_cross_genotype.yml,
genetics,chromosomal_inheritance,YMATCH,,{bp_match}/inheritance/sex_determination.yml,
genetics,chi_square,YMATCH,,{bp_match}/biostatistics/chi-square_terms.yml,
genetics,chi_square,YMCS,,{bp_mcs}/biostatistics/chi-square.yml,
genetics,chromosomal_inheritance,YMCS,,{bp_mcs}/cell_biology/mitosis_and_meiosis.yml,
